film_id,original_name,cnc_agrement_year,allocine_id,allocine_title,allocine_url
116,Petites mains,2023,300858,Les Petites mains,https://www.allocine.fr/film/fichefilm_gen_cfilm=300858.html
117,"Juliette, les fantômes reviennent au printemps",2023,315190,Juliette au printemps,https://www.allocine.fr/film/fichefilm_gen_cfilm=315190.html
118,Le roman de Jim,2023,313951,Le Roman de Jim,https://www.allocine.fr/film/fichefilm_gen_cfilm=313951.html
119,Le procès du chien,2023,311996,Le Procès du chien,https://www.allocine.fr/film/fichefilm_gen_cfilm=311996.html
120,Zion,2023,317103,Zion,https://www.allocine.fr/film/fichefilm_gen_cfilm=317103.html
121,Dans le viseur,2023,1000015509,Jénine dans le viseur,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000015509.html
122,"Kina & Yuk, réfugiés de la banquise",2023,304378,Kina & Yuk : renards de la banquise,https://www.allocine.fr/film/fichefilm_gen_cfilm=304378.html
123,Niki,2023,311894,Niki,https://www.allocine.fr/film/fichefilm_gen_cfilm=311894.html
124,Reine mère,2023,311436,Reine mère,https://www.allocine.fr/film/fichefilm_gen_cfilm=311436.html
125,Maria,2023,309615,Maria,https://www.allocine.fr/film/fichefilm_gen_cfilm=309615.html
126,Miséricorde,2023,305776,Miséricorde,https://www.allocine.fr/film/fichefilm_gen_cfilm=305776.html
127,Les femmes au balcon,2023,315202,Les Femmes au balcon,https://www.allocine.fr/film/fichefilm_gen_cfilm=315202.html
128,L'enfant qui mesurait le monde,2023,303839,L’Enfant qui mesurait le monde,https://www.allocine.fr/film/fichefilm_gen_cfilm=303839.html
129,Flow,2023,302474,"Flow, le chat qui n’avait plus peur de l’eau",https://www.allocine.fr/film/fichefilm_gen_cfilm=302474.html
130,Vive les mariés,2023,1000008845,Avec ou sans enfants ?,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000008845.html
131,Brûle le sang,2023,288554,Brûle le sang,https://www.allocine.fr/film/fichefilm_gen_cfilm=288554.html
132,La mort de belle,2023,316492,Belle,https://www.allocine.fr/film/fichefilm_gen_cfilm=316492.html
133,Le mangeur d'âmes,2023,314517,Le Mangeur d’âmes,https://www.allocine.fr/film/fichefilm_gen_cfilm=314517.html
134,Maman veut pu',2023,304410,Marmaille,https://www.allocine.fr/film/fichefilm_gen_cfilm=304410.html
135,Lads,2023,310111,Lads,https://www.allocine.fr/film/fichefilm_gen_cfilm=310111.html
136,Bis repetita,2023,323931,Bis Repetita,https://www.allocine.fr/film/fichefilm_gen_cfilm=323931.html
137,Les pistolets en plastique,2023,306256,Les Pistolets en plastique,https://www.allocine.fr/film/fichefilm_gen_cfilm=306256.html
138,Mona,2023,313958,Mon inséparable,https://www.allocine.fr/film/fichefilm_gen_cfilm=313958.html
139,Transamazonia,2023,285138,Transamazonia,https://www.allocine.fr/film/fichefilm_gen_cfilm=285138.html
140,Robot T-O,2023,317519,Un monde merveilleux,https://www.allocine.fr/film/fichefilm_gen_cfilm=317519.html
141,Tombé du camion,2023,317900,Tombés du camion,https://www.allocine.fr/film/fichefilm_gen_cfilm=317900.html
142,Le répondeur,2023,318645,Le Répondeur,https://www.allocine.fr/film/fichefilm_gen_cfilm=318645.html
143,Pourquoi tu souris ?,2023,302290,Pourquoi tu souris ?,https://www.allocine.fr/film/fichefilm_gen_cfilm=302290.html
144,De l'art ou du Machond,2023,316777,L'Art d'être heureux,https://www.allocine.fr/film/fichefilm_gen_cfilm=316777.html
145,Un enfant pas comme les autres,2023,313397,Comme un fils,https://www.allocine.fr/film/fichefilm_gen_cfilm=313397.html
146,Esprit Coubertin (L') (ex : Village global,2023,Not found,Not found,Not found
147,Papamobile,2023,Not found,Not found,Not found
148,Passer l'hiver,2023,224949,Passer l'hiver,https://www.allocine.fr/film/fichefilm_gen_cfilm=224949.html
149,Eat the night,2023,294373,Eat the Night,https://www.allocine.fr/film/fichefilm_gen_cfilm=294373.html
150,"Moi vivant, vous ne serez jamais morts",2023,299576,Un homme en fuite,https://www.allocine.fr/film/fichefilm_gen_cfilm=299576.html
151,La pampa,2023,291594,La Pampa,https://www.allocine.fr/film/fichefilm_gen_cfilm=291594.html
152,Diamant brut,2023,314908,Diamant brut,https://www.allocine.fr/film/fichefilm_gen_cfilm=314908.html
153,"Vivre, mourir, renaître",2023,316793,"Vivre, mourir, renaître",https://www.allocine.fr/film/fichefilm_gen_cfilm=316793.html
154,Mexico 1986,2023,318241,Mexico 86,https://www.allocine.fr/film/fichefilm_gen_cfilm=318241.html
155,Cassandre,2023,318265,Cassandre,https://www.allocine.fr/film/fichefilm_gen_cfilm=318265.html
156,Océan Titanic,2023,289083,Titanic Ocean,https://www.allocine.fr/film/fichefilm_gen_cfilm=289083.html
157,La vie devant nous,2023,327672,La Vie devant nous,https://www.allocine.fr/film/fichefilm_gen_cfilm=327672.html
158,Le noël des animaux,2023,298018,Le Grand Noël des animaux,https://www.allocine.fr/film/fichefilm_gen_cfilm=298018.html
159,Paradise,2023,306982,Le Village aux portes du paradis,https://www.allocine.fr/film/fichefilm_gen_cfilm=306982.html
160,Totone,2023,Not found,Not found,Not found
161,Neuilly-Poissy,2023,316794,Neuilly-Poissy,https://www.allocine.fr/film/fichefilm_gen_cfilm=316794.html
162,L'asile,2023,305784,Bonjour l’asile,https://www.allocine.fr/film/fichefilm_gen_cfilm=305784.html
163,"Silex and the city, le film",2023,307766,"Silex and the City, le film",https://www.allocine.fr/film/fichefilm_gen_cfilm=307766.html
164,Barbès d'or,2023,304850,"Barbès, little Algérie",https://www.allocine.fr/film/fichefilm_gen_cfilm=304850.html
165,Les arènes,2023,300550,Les Arènes,https://www.allocine.fr/film/fichefilm_gen_cfilm=300550.html
166,Mikado,2023,313954,Mikado,https://www.allocine.fr/film/fichefilm_gen_cfilm=313954.html
167,Et plus si affinités,2023,54019,Mensonges et trahisons et plus si affinités...,https://www.allocine.fr/film/fichefilm_gen_cfilm=54019.html
168,L'histoire de Souleymane,2023,311444,L’Histoire de Souleymane,https://www.allocine.fr/film/fichefilm_gen_cfilm=311444.html
169,La mort n'éxiste pas,2023,294580,La Mort n’existe pas,https://www.allocine.fr/film/fichefilm_gen_cfilm=294580.html
170,Hiver à Sokcho,2023,304409,Hiver à Sokcho,https://www.allocine.fr/film/fichefilm_gen_cfilm=304409.html
171,Dans la cuisine des Nguyen,2023,304411,Dans la cuisine des Nguyen,https://www.allocine.fr/film/fichefilm_gen_cfilm=304411.html
172,Le procès Goldman,2023,299937,Le Procès Goldman,https://www.allocine.fr/film/fichefilm_gen_cfilm=299937.html
173,L'effacement,2023,296812,L'Effacement,https://www.allocine.fr/film/fichefilm_gen_cfilm=296812.html
