mubi_label,english_label,french_label
Best European Actor,Best Actor,Meilleur acteur
Best European Actress,Best Actress,Meilleure actrice
Best European Animated Feature Film,Best Animated Film,Meilleur film d’animation
Best European Director,Best Director,Meilleur réalisateur
Best European Documentary,Best Documentary,Meilleur documentaire
Best European Editing,Best Editing,Meilleur montage
Best European Film,Best Regional Film,Meilleur film par région
Best European Film (Cel mai bun film european),Best Regional Film,Meilleur film par région
Best European Film (Mejor Película Europea),Best Regional Film,Meilleur film par région
Best European Film (Miglior Film dell'Unione Europea),Best Regional Film,Meilleur film par région
Best European Film (Millor Pel·lícula Europea),Best Regional Film,Meilleur film par région
Best European Film (Najlepszy Film Europejski),Best Regional Film,Meilleur film par région
Best European Film (People's Choice Award),Best Regional Film,Meilleur film par région
Best European Make-Up & Hair,Best Make-Up,Meilleur maquillage
Best European Screenwriter,Best Screenplay,Meilleur scénario
Best European Short Film,Best Short Film,Meilleur court métrage
Best European Short Film Award,Best Short Film,Meilleur court métrage
Best European Sound,Best Sound,Meilleur son
Best European Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
Best Family Film,Audience Award,Prix du public
Best Feature,Best Feature,Meilleur long métrage
Best Feature (Albar),Best Feature,Meilleur long métrage
Best Feature (Audience Award),Best Feature,Meilleur long métrage
Best Feature (Cristal),Best Feature,Meilleur long métrage
Best Feature (Fantastic Flix Children’s Jury),Best Feature,Meilleur long métrage
Best Feature (Jury Award),Best Feature,Meilleur long métrage
Best Feature Documentary,Best Documentary,Meilleur documentaire
Best Feature Film,Best Feature,Meilleur long métrage
Best Feature Film (Audience Award/Première),Best Feature,Meilleur long métrage
Best Feature Film (BAFTA Children's Award),Best Feature,Meilleur long métrage
Best Feature Film (Children's Award),Best Feature,Meilleur long métrage
Best Feature Film (International Panorama),Best Feature,Meilleur long métrage
Best Feature Film (Jury Award),Best Feature,Meilleur long métrage
Best Feature Film (Panorama),Best Feature,Meilleur long métrage
Best Feature Film (Temps Ø),Best Feature,Meilleur long métrage
Best Feature Length European Film,Best Feature,Meilleur long métrage
Best Feature Length Film,Best Feature,Meilleur long métrage
Best Feature-Length Film (Anima't Award),Best Feature,Meilleur long métrage
Best Female Action Hero,Best Actress,Meilleure actrice
Best Female Action Star,Best Actress,Meilleure actrice
Best Female Actor,Best Actress,Meilleure actrice
Best Female Images (Just Kidding Award),Best Actress,Meilleure actrice
Best Female Images in a Movie,Best Actress,Meilleure actrice
Best Female Lead,Best Actress,Meilleure actrice
Best Female Newcomer,Best Promising Actress,Meilleur espoir féminin
Best Female Performance,Best Actress,Meilleure actrice
Best Fictional Short Film,Best Short Film,Meilleur court métrage
Best Film,Best Film,Meilleur film
Best Film - Audience Award,Best Film,Meilleur film
Best Film - International Competition,Best Film,Meilleur film
Best Film – Special Mention (Bronze Horse),Best Film,Meilleur film
Best Film (Audience Award),Best Film,Meilleur film
Best Film (Audience award),Best Film,Meilleur film
Best Film (Bronze Horse),Best Film,Meilleur film
Best Film (Discovery Award),Best Film,Meilleur film
Best Film (Festival Prize),Best Film,Meilleur film
Best Film (FIPRESCI Prize),Best Film,Meilleur film
Best Film (Gold),Best Film,Meilleur film
Best Film (Golden Shell),Best Film,Meilleur film
Best Film (International Award),Best Film,Meilleur film
Best Film (International Competition),Best Film,Meilleur film
Best Film (International),Best Film,Meilleur film
Best Film (Meilleur film),Best Film,Meilleur film
Best Film (Najlepszy Film),Best Film,Meilleur film
Best Film (Silver),Best Film,Meilleur film
Best Film (Venice Horizons Award),Best Film,Meilleur film
Best Film [En İyi Film],Best Film,Meilleur film
Best Film By An Emerging Director (CineVision Award),Best Film,Meilleur film
Best Film Editing,Best Film,Meilleur film
Best Film for International Section,Best Film,Meilleur film
Best Film from French-Speaking Territories,Best Regional Film,Meilleur film par région
Best Film from the Arab World (New Horizons Competition),Best Regional Film,Meilleur film par région
Best Film Music,Best Film,Meilleur film
Best Film Not in the English Language,Best Film,Meilleur film
Best Film of the Documentary Competition,Best Film,Meilleur film
Best Film Opening in 2023,Best Film,Meilleur film
Best Film Score,Best Film,Meilleur film
Best Film Score (Najlepsza Muzyka),Best Film,Meilleur film
Best Films Opening in 2021,Best Film,Meilleur film
Best First Feature,Best First Film,Meilleur premier film
Best First Feature (Archie Award),Best First Film,Meilleur premier film
Best First Feature Film,Best First Film,Meilleur premier film
Best First Film,Best First Film,Meilleur premier film
Best First Film (FACE Award) [En İyi İlk Film - FACE Ödülü],Best First Film,Meilleur premier film
Best First Film (Heike Hurst Award),Best First Film,Meilleur premier film
Best First Film (Meilleur premier film),Best First Film,Meilleur premier film
Best First Screenplay,Best Screenplay,Meilleur scénario
Best First Work,Best First Film,Meilleur premier film
Best Flemish Film,Best Regional Film,Meilleur film par région
Best Foreign Actor (Audience Award),Audience Award,Prix du public
Best Foreign Director,Best Director,Meilleur réalisateur
Best Foreign Director (Audience Award),Best Director,Meilleur réalisateur
Best Foreign Director (Critics Award),Best Director,Meilleur réalisateur
Best Foreign Feature,Best Foreign Film,Meilleur film étranger
Best Foreign Feature Film,Best Foreign Film,Meilleur film étranger
Best Foreign Feature Film (Årets utenlandske kinofilm),Best Foreign Film,Meilleur film étranger
Best Foreign Feature Film (Årets utenlandske spillefilm),Best Foreign Film,Meilleur film étranger
Best Foreign Feature Film (Audience Award),Best Foreign Film,Meilleur film étranger
Best Foreign Film,Best Foreign Film,Meilleur film étranger
Best Foreign Film (Critics Award),Best Foreign Film,Meilleur film étranger
Best Foreign Film (Meilleur film étranger),Best Foreign Film,Meilleur film étranger
Best Foreign Film (Melhor Filme Estrangeiro),Best Foreign Film,Meilleur film étranger
Best Foreign Film (Miglior Film Straniero),Best Foreign Film,Meilleur film étranger
Best Foreign Film (Not in the Spanish Language),Best Foreign Film,Meilleur film étranger
Best Foreign Film (Readers' Choice Award),Best Foreign Film,Meilleur film étranger
Best Foreign Film (Spanish Language),Best Foreign Film,Meilleur film étranger
Best Foreign Film by or about Women,Best Foreign Film,Meilleur film étranger
Best Foreign Film by/or about Women,Best Foreign Film,Meilleur film étranger
Best Foreign Film Director,Best Foreign Film,Meilleur film étranger
Best Foreign Film in Co-Production,Best Foreign Film,Meilleur film étranger
Best Foreign Film in Co-Production (Meilleur film étranger en coproduction),Best Foreign Film,Meilleur film étranger
Best Foreign Film in Coproduction,Best Foreign Film,Meilleur film étranger
Best Foreign Film in Theatrical Release,Best Foreign Film,Meilleur film étranger
"Best Foreign Film, Not in the Spanish Language",Best Foreign Film,Meilleur film étranger
"Best Foreign Film, Not in the Spanish Language (Mejor Película Extranjera)",Best Foreign Film,Meilleur film étranger
"Best Foreign Film, Not in the Spanish Language (Silver Condor)",Best Foreign Film,Meilleur film étranger
Best Foreign Independent Film,Best Foreign Film,Meilleur film étranger
Best Foreign Language Feature,Best Foreign Film,Meilleur film étranger
Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
Best Foreign Language Film (Readers' Choice Award),Best Foreign Film,Meilleur film étranger
Best Foreign Language Picture,Best Foreign Film,Meilleur film étranger
Best Foreign Short Film - Foreign Short Film,Best Short Film,Meilleur court métrage
Best Foreign-Language Film,Best Foreign Film,Meilleur film étranger
Best Foreign-Language Film (Melhor Filme Estrangeiro),Best Foreign Film,Meilleur film étranger
Best French Feature Film (André-Martin Award),Best Foreign Film,Meilleur film étranger
Best French-Language Film,Best Foreign Film,Meilleur film étranger
Best French-Language Foreign Film,Best Foreign Film,Meilleur film étranger
Best Gala Film,Festival Award,Prix du festival
Best Graduation Film (Cristal),Festival Award,Prix du festival
Best Hair,Best Make-Up,Meilleur maquillage
Best Hair & Makeup,Best Make-Up,Meilleur maquillage
Best Hair and Makeup,Best Make-Up,Meilleur maquillage
Best Hair Design/Styling,Best Make-Up,Meilleur maquillage
Best Hairstyling,Best Make-Up,Meilleur maquillage
Best Horror,Best Film by Genre,Meilleur film par genre
Best Horror Movie,Best Film by Genre,Meilleur film par genre
Best Ibero-American Feature,Best Regional Film,Meilleur film par région
Best Ibero-American Film,Best Regional Film,Meilleur film par région
Best Icelandic Short,Best Regional Film,Meilleur film par région
Best in World Cinema (Audience Award),Audience Award,Prix du public
Best International,Best International Film,Meilleur film international
Best International Actor,Best Actor,Meilleur acteur
Best International Actress,Best Actress,Meilleure actrice
Best International Animated Feature Film,Best Animated Film,Meilleur film d’animation
Best International Animated Film,Best Animated Film,Meilleur film d’animation
Best International Co-production,Other,Autre
Best International Coproduction (Meilleure coproduction internationale),Other,Autre
Best International Direction,Best Director,Meilleur réalisateur
Best International Documentary,Best Documentary,Meilleur documentaire
Best International Documentary Feature,Best Documentary,Meilleur documentaire
Best International Feature,Best Feature,Meilleur long métrage
Best International Feature Film,Best Feature,Meilleur long métrage
Best International Film,Best International Film,Meilleur film international
Best International Film (English Language),Best International Film,Meilleur film international
Best International Film (Foreign Language),Best International Film,Meilleur film international
Best International Film in a Non-English Language,Best International Film,Meilleur film international
Best International Independent Film,Best International Film,Meilleur film international
Best International Screenplay,Best Screenplay,Meilleur scénario
Best International Short Film,Best Short Film,Meilleur court métrage
Best International Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Best International Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Irish Feature,Best Feature,Meilleur long métrage
Best Joint Lead Performance,Other,Autre
Best Latin American Film,Best Regional Film,Meilleur film par région
Best Latin-American Film,Best Regional Film,Meilleur film par région
Best Lead Actor,Best Actor,Meilleur acteur
Best Lead Actor in Film,Best Actor,Meilleur acteur
Best Lead Actress,Best Actress,Meilleure actrice
Best Lead Actress in Film,Best Actress,Meilleure actrice
Best Lead Performance,Best Actor,Meilleur acteur
Best Lead Performance in a Comedy Film,Best Actor,Meilleur acteur
Best Leading Actor,Best Actor,Meilleur acteur
Best Leading Actress,Best Actress,Meilleure actrice
Best Leading Performance,Best Actor,Meilleur acteur
Best Leadng Actor,Best Actor,Meilleur acteur
Best Lighting,Best Lighting,Meilleure lumière
Best Lighting Direction,Best Lighting,Meilleure lumière
Best Line in a Movie,Other,Autre
Best Live Action Short,Best Live-Action,Meilleur film en prises de vues réelles
Best Live Action Short Drama,Best Live-Action,Meilleur film en prises de vues réelles
Best Live Action Short Film,Best Short Film,Meilleur court métrage
Best Live-Action Short Over 15 Minutes,Best Live-Action,Meilleur film en prises de vues réelles
Best Make Up,Best Make-Up,Meilleur maquillage
Best Make Up & Hair,Best Make-Up,Meilleur maquillage
Best Make Up & Hair Design,Best Make-Up,Meilleur maquillage
Best Make Up &amp; Hair,Best Make-Up,Meilleur maquillage
Best Make Up/Hair,Best Make-Up,Meilleur maquillage
Best Make-Up,Best Make-Up,Meilleur maquillage
Best Make-Up - International Competition,Best Make-Up,Meilleur maquillage
Best Make-Up & Hair,Best Make-Up,Meilleur maquillage
Best Make-Up & Hair Design,Best Make-Up,Meilleur maquillage
Best Make-up And Hairstyling,Best Make-Up,Meilleur maquillage
Best Makeup,Best Make-Up,Meilleur maquillage
Best Makeup & Hair (Film/TV Drama),Best Make-Up,Meilleur maquillage
Best Makeup and Hair,Best Make-Up,Meilleur maquillage
Best Makeup and Hair Styling,Best Make-Up,Meilleur maquillage
Best Makeup and Hairstyles,Best Make-Up,Meilleur maquillage
Best Makeup and Hairstyling,Best Make-Up,Meilleur maquillage
Best Makeup/Hair,Best Make-Up,Meilleur maquillage
Best Male Actor,Best Actor,Meilleur acteur
"Best Male Actor in a Motion Picture, Drama",Best Actor,Meilleur acteur
Best Male Images in a Movie,Best Actor,Meilleur acteur
Best Male Lead,Best Actor,Meilleur acteur
Best Male Newcomer,Best Actor,Meilleur acteur
Best Male Performance,Best Actor,Meilleur acteur
Best Mid-Length Documentary,Best Documentary,Meilleur documentaire
Best Most Promising Actor,Best Promising Actor,Meilleur espoir masculin
Best Most Promising Actress,Best Promising Actress,Meilleur espoir féminin
Best Motion Capture/Special Effects Performance,Best Visual Effects,Meilleurs effets spéciaux
Best Motion Picture,Best Film,Meilleur film
Best Motion Picture - Animated,Best Animated Film,Meilleur film d’animation
Best Motion Picture - Comedy or Musical,Best Comedy,Meilleure comédie
Best Motion Picture - Drama,Best Dramatic Film,Meilleur film dramatique
Best Motion Picture - Foreign Language,Best Foreign Film,Meilleur film étranger
Best Motion Picture - Musical or Comedy,Best Comedy,Meilleure comédie
Best Motion Picture - Musical/Comedy,Best Comedy,Meilleure comédie
Best Motion Picture - Non-English Language,Best Foreign Film,Meilleur film étranger
Best Motion Picture – Drama,Best Dramatic Film,Meilleur film dramatique
Best Motion Picture (Audience Award),Audience Award,Prix du public
Best Movie,Best Film,Meilleur film
Best Movie About Women,Best Film,Meilleur film
Best Movie by a Woman,Best Film,Meilleur film
Best Movie of the Decade,Best Film,Meilleur film
Best Music,Best Music,Meilleure musique
Best Music (LAFCA Award),Best Music,Meilleure musique
Best Music (Meilleure musique),Best Music,Meilleure musique
Best Music Documentary,Best Music,Meilleure musique
Best Music Score,Best Music,Meilleure musique
Best Music Supervision,Best Music,Meilleure musique
"Best Music, Original Score",Best Music,Meilleure musique
"Best Music, Original Song",Best Music,Meilleure musique
Best Narrative English-Language Feature (Audience Choice Award),Best Fiction,Meilleure fiction
Best Narrative Feature,Best Fiction,Meilleure fiction
Best Narrative Feature (Audience Award),Best Fiction,Meilleure fiction
Best Narrative Feature (Audience Choice Award),Best Fiction,Meilleure fiction
Best Narrative Feature (People's Choice Award),Best Fiction,Meilleure fiction
Best Narrative Feature Film,Best Fiction,Meilleure fiction
Best Narrative Film (FIPRESCI Prize),Best Fiction,Meilleure fiction
Best Narrative Short,Best Short Film,Meilleur court métrage
Best Narrative Short Film,Best Short Film,Meilleur court métrage
Best New Actor,Best Promising Actor,Meilleur espoir masculin
Best New Actress,Best Promising Actress,Meilleur espoir féminin
Best New Director,Best Director,Meilleur réalisateur
Best New Filmmaker,Best Director,Meilleur réalisateur
Best New Performer,Best Director,Meilleur réalisateur
Best New Visions Short,Best Short Film,Meilleur court métrage
Best Newcomer,Other,Autre
Best Non-American Feature,Best Regional Film,Meilleur film par région
Best Non-American Film,Best Regional Film,Meilleur film par région
Best Non-American Film (Bedste ikke-amerikanske film),Best Regional Film,Meilleur film par région
Best Non-American Film (Bodil),Best Regional Film,Meilleur film par région
Best Non-Catalan Language Film,Best Regional Film,Meilleur film par région
Best Non-English Language Feature,Best Regional Film,Meilleur film par région
Best Non-English Language Film,Best Regional Film,Meilleur film par région
Best Non-Fiction Film,Other,Autre
Best Non-Fiction Film (Documentary),Best Documentary,Meilleur documentaire
Best Nonfiction Film,Other,Autre
Best Nordic Documentary,Best Documentary,Meilleur documentaire
Best Nordic Documentary (Dragon Award),Best Documentary,Meilleur documentaire
Best Nordic Film,Best Regional Film,Meilleur film par région
Best North American Independent Film,Best Regional Film,Meilleur film par région
Best Original Film Score,Best Film,Meilleur film
Best Original Film Song,Best Music,Meilleure musique
Best Original Music,Best Music,Meilleure musique
Best Original Music - International Competition,Best Music,Meilleure musique
Best Original Music (Meilleure musique originale),Best Music,Meilleure musique
Best Original Music Award,Best Music,Meilleure musique
Best Original Music for a Feature Film,Best Music,Meilleure musique
Best Original Music in a Feature Length Documentary,Best Music,Meilleure musique
Best Original Music Score,Best Music,Meilleure musique
Best Original Score,Best Film,Meilleur film
Best Original Score - Motion Picture,Best Film,Meilleur film
Best Original Score – Motion Picture,Best Film,Meilleur film
Best Original Score (Mejor Música Original),Best Music,Meilleure musique
Best Original Score (Millor Música Original),Best Music,Meilleure musique
Best Original Score or Soundtrack,Best Music,Meilleure musique
Best Original Screenplay,Best Screenplay,Meilleur scénario
Best Original Screenplay (Meilleur scénario original),Best Screenplay,Meilleur scénario
Best Original Screenplay (Screen),Best Screenplay,Meilleur scénario
Best Original Song,Best Music,Meilleure musique
Best Original Song - Motion Picture,Best Music,Meilleure musique
Best Original Song (Miglior canzone originale),Best Music,Meilleure musique
"Best Original Song, Motion Picture",Best Music,Meilleure musique
Best Overall Short,Best Short Film,Meilleur court métrage
Best Overlooked Film,Best First Film,Meilleur premier film
Best Performance,Best Artist,Meilleur artiste
Best Performance Best Actress – Motion Picture Comedy or Musical,Best Actress,Meilleure actrice
Best Performance by a Female Actor in a Motion Picture – Drama,Best Actress,Meilleure actrice
Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Best Actress,Meilleure actrice
Best Performance by a Female Actor in a Supporting Role in any Motion Picture,Best Actress,Meilleure actrice
Best Performance by a Male Actor in a Motion Picture – Drama,Best Actor,Meilleur acteur
Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Best Actor,Meilleur acteur
Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Best Actor,Meilleur acteur
Best Performance by an Actor,Best Actor,Meilleur acteur
Best Performance by an Actor in a Leading Role,Best Actor,Meilleur acteur
Best Performance by an Actor in a Motion Picture - Comedy or Musical,Best Actor,Meilleur acteur
Best Performance by an Actor in a Motion Picture - Drama,Best Actor,Meilleur acteur
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Best Actor,Meilleur acteur
Best Performance by an Actor in a Motion Picture – Drama,Best Actor,Meilleur acteur
Best Performance by an Actor in a Supporting Role – Motion Picture,Best Supporting Actor,Meilleur acteur dans un second rôle
Best Performance by an Actor in a Supporting Role in a Motion Picture,Best Supporting Actor,Meilleur acteur dans un second rôle
Best Performance by an Actor in a Supporting Role in any Motion Picture,Best Supporting Actor,Meilleur acteur dans un second rôle
Best Performance by an Actor in a Supporting Role in Any Motion Picture,Best Supporting Actor,Meilleur acteur dans un second rôle
Best Performance by an Actress in a Leading Role,Best Actor,Meilleur acteur
Best Performance by an Actress in a Motion Picture - Comedy or Musical,Best Actress,Meilleure actrice
Best Performance by an Actress in a Motion Picture - Drama,Best Actress,Meilleure actrice
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Best Actress,Meilleure actrice
Best Performance by an Actress in a Supporting Role – Motion Picture,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Performance by an Actress in a Supporting Role in a Motion Picture,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Performance by an Actress in a Supporting Role in Any Motion Picture,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Performance by an Actress in a Supporting Role in any Motion Picture,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Performance in a British Feature Film,Best Regional Film,Meilleur film par région
Best Performance in a Live Action Short Drama,Best Live-Action,Meilleur film en prises de vues réelles
Best Photo,Best Cinematography,Meilleure photographie
Best Picture,Best Film,Meilleur film
Best Picture - Animated,Best Animated Film,Meilleur film d’animation
Best Picture - Drama,Best Dramatic Film,Meilleur film dramatique
Best Picture - Musical/Comedy,Best Comedy,Meilleure comédie
Best Picture - Non-English Language,Best Foreign Film,Meilleur film étranger
Best Picture – Animated,Best Animated Film,Meilleur film d’animation
Best Picture – Drama,Best Dramatic Film,Meilleur film dramatique
Best Picture – Musical/Comedy,Best Comedy,Meilleure comédie
Best Picture – Non-English Language,Best Foreign Film,Meilleur film étranger
Best Picture Drama,Best Dramatic Film,Meilleur film dramatique
Best Picture of the Year,Best Film,Meilleur film
Best Poetic Narrative (Un Certain Regard),Best Fiction,Meilleure fiction
Best Portuguese Film,Best Regional Film,Meilleur film par région
Best Poster - International Competition,Other,Autre
Best Producer,Best Production Design,Meilleure direction artistique
Best Production,Best Production Design,Meilleure direction artistique
Best Production Design,Best Production Design,Meilleure direction artistique
Best Production Design (Gil Parrondo Award),Best Production Design,Meilleure direction artistique
Best Production Design (Migliore Scenografia),Best Production Design,Meilleure direction artistique
Best Production Design (Najlepsza Scenografia),Best Production Design,Meilleure direction artistique
Best Production Direction,Best Production Design,Meilleure direction artistique
Best Production Director,Best Production Design,Meilleure direction artistique
Best Production Supervision,Best Production Design,Meilleure direction artistique
Best Promising Actor,Best Promising Actor,Meilleur espoir masculin
Best Promising Actress,Best Promising Actress,Meilleur espoir féminin
Best Quality of the Sexes,Other,Autre
Best Sci-Fi/Fantasy,Best Film by Genre,Meilleur film par genre
Best Sci-Fi/Horror Movie,Best Film by Genre,Meilleur film par genre
Best Score,Best Music,Meilleure musique
Best Score - Motion Picture,Best Music,Meilleure musique
Best Score – Motion Picture,Best Music,Meilleure musique
Best Score Motion Picture,Best Music,Meilleure musique
Best Screen Couple,Best Duo,Meilleur duo
Best Screenplay,Best Screenplay,Meilleur scénario
Best Screenplay - International Competition,Best Screenplay,Meilleur scénario
Best Screenplay - Motion Picture,Best Screenplay,Meilleur scénario
Best Screenplay – Motion Picture,Best Screenplay,Meilleur scénario
Best Screenplay (Adapted),Best Screenplay,Meilleur scénario
Best Screenplay (Dublin Film Critics Circle Awards),Best Screenplay,Meilleur scénario
Best Screenplay (International Award),Best Screenplay,Meilleur scénario
Best Screenplay (Jury Prize),Jury Award,Prix du jury
Best Screenplay (Meilleur scénario),Best Screenplay,Meilleur scénario
Best Screenplay (Original),Best Screenplay,Meilleur scénario
Best Screenplay (Silver Hugo),Best Screenplay,Meilleur scénario
Best Screenplay (Silver Pyramid),Best Screenplay,Meilleur scénario
Best Screenplay Award,Best Screenplay,Meilleur scénario
Best Screenplay for a Canadian Film,Best Screenplay,Meilleur scénario
Best Screenplay in Film,Best Screenplay,Meilleur scénario
Best Screenplay Motion Picture,Best Screenplay,Meilleur scénario
"Best Screenplay, Adapted",Best Screenplay,Meilleur scénario
"Best Screenplay, Adapted or Original",Best Screenplay,Meilleur scénario
"Best Screenplay, Original",Best Screenplay,Meilleur scénario
"Best Screenplay, Original (Melhor Roteiro Original)",Best Screenplay,Meilleur scénario
"Best Screenplay, Original or Adapted",Best Screenplay,Meilleur scénario
Best Script,Best Screenplay,Meilleur scénario
Best Script - Film,Best Screenplay,Meilleur scénario
Best Script (Silver Berlin Bear),Best Screenplay,Meilleur scénario
Best Script for Film,Best Screenplay,Meilleur scénario
Best Script/Screenplay,Best Screenplay,Meilleur scénario
Best Sequence - International Competition,Other,Autre
Best Set Design,Best Production Design,Meilleure direction artistique
Best Short,Best Short Film,Meilleur court métrage
Best Short Animation Film,Best Animated Short Film,Meilleur court métrage d’animation
Best Short Animation Film (Jury Award),Best Animated Short Film,Meilleur court métrage d’animation
Best Short Documentary,Best Short Film,Meilleur court métrage
Best Short Fiction,Best Short Film,Meilleur court métrage
Best Short Film,Best Short Film,Meilleur court métrage
Best Short Film - Animation,Best Short Film,Meilleur court métrage
Best Short Film - Fiction,Best Short Film,Meilleur court métrage
Best Short Film - National Competition,Best Short Film,Meilleur court métrage
Best Short Film (Audience Award),Best Short Film,Meilleur court métrage
Best Short Film (Cinema of Tomorrow),Best Short Film,Meilleur court métrage
Best Short Film [En İyi Kısa Film],Best Short Film,Meilleur court métrage
Best Short Film Score,Best Short Film,Meilleur court métrage
Best Short of the Festival,Best Short Film,Meilleur court métrage
Best Song,Best Music,Meilleure musique
Best Song - Motion Picture,Best Music,Meilleure musique
Best Song – Motion Picture,Best Music,Meilleure musique
Best Song (Original or Adapted) - International Competition,Best Music,Meilleure musique
"Best Song (Original or Adapted) - International Competition (""I'll Never Love Again"")",Best Music,Meilleure musique
"Best Song (Original or Adapted) - International Competition (for ""Maybe It'd Time"")",Best Music,Meilleure musique
"Best Song (Original or Adapted) - International Competition (for ""Shallow"")",Best Music,Meilleure musique
Best Song Motion Picture,Best Music,Meilleure musique
Best Sound,Best Sound,Meilleur son
Best Sound (Meilleur son),Best Sound,Meilleur son
Best Sound Design,Best Sound,Meilleur son
Best Sound Editing,Best Sound,Meilleur son
Best Sound Mixing,Best Sound,Meilleur son
Best Sound Recording,Best Sound,Meilleur son
Best Sound/Sound Efects - International Competition,Best Sound,Meilleur son
Best Sound/Sound Effects - International Competition,Best Sound,Meilleur son
Best Soundtrack,Best Music,Meilleure musique
Best Soundtrack (Soundtrack Stars Award),Best Music,Meilleure musique
Best Spanish Language Foreign Film,Best Regional Film,Meilleur film par région
Best Special Effects,Best Visual Effects,Meilleurs effets spéciaux
Best Special Effects (Sound or Visual) - International Competition,Best Visual Effects,Meilleurs effets spéciaux
Best Special Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
"Best Special, Visual or Makeup Effects in the Official Fantàstic Selection",Best Visual Effects,Meilleurs effets spéciaux
Best Student Animation,Best Animated Film,Meilleur film d’animation
Best Student Live Action - Under 15 Minutes (Gold Plaque),Best Live-Action,Meilleur film en prises de vues réelles
Best Stunt Coordinator,Other,Autre
Best Stunts,Other,Autre
Best Supporting  Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Best Supporting Actor - Film,Best Supporting Actor,Meilleur second rôle
Best Supporting Actor - International Competition,Best Supporting Actor,Meilleur second rôle
Best Supporting Actor - Motion Picture,Best Supporting Actor,Meilleur second rôle
Best Supporting Actor – Motion Picture,Best Supporting Actor,Meilleur second rôle
Best Supporting Actor (François Civil),Best Supporting Actor,Meilleur second rôle
Best Supporting Actor (International Competition),Best Supporting Actor,Meilleur second rôle
Best Supporting Actor (Karim Leklou),Best Supporting Actor,Meilleur second rôle
Best Supporting Actor in Film,Best Supporting Actor,Meilleur second rôle
Best Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Actress - International Competition,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Actress - Motion Picture,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Actress – Motion Picture,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Actress (International),Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Actress (Meilleure actrice dans un second rôle),Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Actress in a Canadian Film,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Actress in a Motion Picture,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Actress in Film,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Female,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Female Actor,Best Supporting Actress,Meilleure actrice dans un second rôle
Best Supporting Male,Best Supporting Actor,Meilleur acteur dans un second rôle
Best Supporting Male Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Best Supporting Performance,Best Supporting Actor,Meilleur acteur dans un second rôle
Best Supporting Role,Best Supporting Actor,Meilleur acteur dans un second rôle
Best Synchronised Music (Cannes Soundtrack Award),Best Music,Meilleure musique
Best Technical Achievement,Best Technical Achievement,Meilleure contribution technique
Best Testimony on Politics 2017 - A Testimony on Politics,Other,Autre
Best Theatrically Unreleased Movie by or About Women,Other,Autre
Best Thriller,Best Film by Genre,Meilleur film par genre
Best Trailer - International Competition,Other,Autre
Best U.S. Feature Film,Best Feature,Meilleur long métrage
Best U.S. Short,Best Short Film,Meilleur court métrage
Best UK Short,Best Short Film,Meilleur court métrage
Best Undistributed Film,Other,Autre
Best Use of Music,Best Music,Meilleure musique
Best Use of Music in a Film,Best Music,Meilleure musique
Best Use of Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
Best Villain,Other,Autre
Best Villain of the Year,Other,Autre
Best Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
Best Visual Effects - International Competition,Best Visual Effects,Meilleurs effets spéciaux
Best Visual Effects for Animation,Best Visual Effects,Meilleurs effets spéciaux
Best Visual Effects Or Animation,Best Visual Effects,Meilleurs effets spéciaux
Best Voice Acting/Animated/Digital Performance,Best Animated Film,Meilleur film d’animation
Best Voice Performance,Best Music,Meilleure musique
Best Woman Storyteller,Best Screenplay,Meilleur scénario
Best Woman Storyteller (Screenwriting Award),Best Screenplay,Meilleur scénario
Best Writer Film/Television,Best Screenplay,Meilleur scénario
Best Writing,Best Screenplay,Meilleur scénario
Best Writing (Creative Recognition Award),Best Screenplay,Meilleur scénario
Best Young Actor,Best Promising Actor,Meilleur espoir masculin
